cod_ine,ccaa,date,uci
01,Andalucía,2020-03-04,1
02,Aragón,2020-03-04,0
03,Asturias,2020-03-04,1
04,Baleares,2020-03-04,0
05,Canarias,2020-03-04,0
06,Cantabria,2020-03-04,0
07,CLM,2020-03-04,1
08,CyL,2020-03-04,1
09,Cataluña,2020-03-04,0
18,Ceuta,2020-03-04,0
10,C. Valenciana,2020-03-04,0
11,Extremadura,2020-03-04,0
12,Galicia,2020-03-04,0
13,Madrid,2020-03-04,2
19,Melilla,2020-03-04,0
14,Murcia,2020-03-04,0
15,Navarra,2020-03-04,1
16,País Vasco,2020-03-04,0
17,La Rioja,2020-03-04,0
01,Andalucía,2020-03-05,1
02,Aragón,2020-03-05,1
03,Asturias,2020-03-05,2
04,Baleares,2020-03-05,0
05,Canarias,2020-03-05,0
06,Cantabria,2020-03-05,0
07,CLM,2020-03-05,1
08,CyL,2020-03-05,1
09,Cataluña,2020-03-05,0
18,Ceuta,2020-03-05,0
10,C. Valenciana,2020-03-05,0
11,Extremadura,2020-03-05,0
12,Galicia,2020-03-05,0
13,Madrid,2020-03-05,2
19,Melilla,2020-03-05,0
14,Murcia,2020-03-05,0
15,Navarra,2020-03-05,1
16,País Vasco,2020-03-05,0
17,La Rioja,2020-03-05,0
01,Andalucía,2020-03-06,1
02,Aragón,2020-03-06,1
03,Asturias,2020-03-06,2
04,Baleares,2020-03-06,0
05,Canarias,2020-03-06,0
06,Cantabria,2020-03-06,0
07,CLM,2020-03-06,1
08,CyL,2020-03-06,1
09,Cataluña,2020-03-06,0
18,Ceuta,2020-03-06,0
10,C. Valenciana,2020-03-06,1
11,Extremadura,2020-03-06,0
12,Galicia,2020-03-06,0
13,Madrid,2020-03-06,2
19,Melilla,2020-03-06,0
14,Murcia,2020-03-06,0
15,Navarra,2020-03-06,1
16,País Vasco,2020-03-06,1
17,La Rioja,2020-03-06,0
01,Andalucía,2020-03-09,1
02,Aragón,2020-03-09,1
03,Asturias,2020-03-09,2
04,Baleares,2020-03-09,0
05,Canarias,2020-03-09,0
06,Cantabria,2020-03-09,0
07,CLM,2020-03-09,2
08,CyL,2020-03-09,1
09,Cataluña,2020-03-09,0
18,Ceuta,2020-03-09,0
10,C. Valenciana,2020-03-09,1
11,Extremadura,2020-03-09,0
12,Galicia,2020-03-09,0
13,Madrid,2020-03-09,53
19,Melilla,2020-03-09,0
14,Murcia,2020-03-09,0
15,Navarra,2020-03-09,1
16,País Vasco,2020-03-09,5
17,La Rioja,2020-03-09,1
01,Andalucía,2020-03-10,1
02,Aragón,2020-03-10,3
03,Asturias,2020-03-10,2
04,Baleares,2020-03-10,1
05,Canarias,2020-03-10,1
06,Cantabria,2020-03-10,0
07,CLM,2020-03-10,2
08,CyL,2020-03-10,2
09,Cataluña,2020-03-10,0
18,Ceuta,2020-03-10,0
10,C. Valenciana,2020-03-10,1
11,Extremadura,2020-03-10,0
12,Galicia,2020-03-10,2
13,Madrid,2020-03-10,77
19,Melilla,2020-03-10,0
14,Murcia,2020-03-10,0
15,Navarra,2020-03-10,2
16,País Vasco,2020-03-10,5
17,La Rioja,2020-03-10,1
01,Andalucía,2020-03-11,3
02,Aragón,2020-03-11,3
03,Asturias,2020-03-11,2
04,Baleares,2020-03-11,1
05,Canarias,2020-03-11,1
06,Cantabria,2020-03-11,0
07,CLM,2020-03-11,5
08,CyL,2020-03-11,2
09,Cataluña,2020-03-11,0
18,Ceuta,2020-03-11,0
10,C. Valenciana,2020-03-11,1
11,Extremadura,2020-03-11,1
12,Galicia,2020-03-11,2
13,Madrid,2020-03-11,102
19,Melilla,2020-03-11,0
14,Murcia,2020-03-11,0
15,Navarra,2020-03-11,3
16,País Vasco,2020-03-11,15
17,La Rioja,2020-03-11,1
01,Andalucía,2020-03-12,4
02,Aragón,2020-03-12,3
03,Asturias,2020-03-12,2
04,Baleares,2020-03-12,2
05,Canarias,2020-03-12,3
